Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,Date,Time,duration,weather,peak
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 13:34,"3.1107317, 101.6180967",0,6/2/2019,13:34:51,0,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 13:36,"3.11079, 101.6142133",163 meter,6/2/2019,13:36:41,110,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10767533424092, 101.611201364536",6/2/2019 13:39,"3.1091283, 101.611545",165 meter,6/2/2019,13:39:59,198,1,0
30,POH KONG  JLN SS 2/55,"3.1172868, 101.6209125",6/2/2019 13:30,"3.118255, 101.6195283",0,6/2/2019,13:30:26,0,1,0
31,AUTO FILM  JLNSS 2/24,"3.11521642915048, 101.621698417829",6/2/2019 13:32,"3.1162971, 101.621919",122 meter,6/2/2019,13:32:01,95,1,0
26,PETRON SS 2/24,"3.11389615072979, 101.620627266475",6/2/2019 13:33,"3.1141583, 101.620965",47 meter,6/2/2019,13:33:31,90,1,0
32,PETRON SEAPARK  JLN SS2/24,"3.11113995129121, 101.618514744918",6/2/2019 13:34,"3.1124, 101.619485",176 meter,6/2/2019,13:34:21,50,1,0
33,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.1106107, 101.6149735",6/2/2019 13:36,"3.1102167, 101.6160767",130 meter,6/2/2019,13:36:21,120,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 13:36,"3.110945, 101.61342",80 meter,6/2/2019,13:36:51,30,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10763984044263, 101.610927842503",6/2/2019 13:39,"3.1091283, 101.611545",178 meter,6/2/2019,13:39:59,188,1,0
20,SEK MEN SRI PERMATA  JLN SS 3/80,"3.101569, 101.613331",6/2/2019 13:01,"3.1022081, 101.6149736",0,6/2/2019,13:01:40,0,1,0
19,RUMAH NO. 21  JLN SS 3/80,"3.1016, 101.609357",6/2/2019 13:02,"3.10142, 101.6109417",177 meter,6/2/2019,13:02:50,70,1,0
23,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.109894, 101.616525",6/2/2019 13:34,"3.1105817, 101.618035",184 meter,6/2/2019,13:34:45,1915,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 13:36,"3.110695, 101.6145417",199 meter,6/2/2019,13:36:30,105,1,0
4,SEK MEN SRI PERMATA  JLN SS 3/80,"3.10151490209982, 101.614209672132",6/2/2019 13:01,"3.1026132, 101.6149806",0,6/2/2019,13:01:34,0,1,0
5,TAMAN PERMAINAN  JLN SS 3/29,"3.09953717185688, 101.610986705879",6/2/2019 13:02,"3.10107, 101.6109533",170 meter,6/2/2019,13:02:55,81,1,0
6,7 ELEVEN  JLN SS 3/29,"3.09682337351054, 101.611003335106",6/2/2019 13:03,"3.097425, 101.61096",67 meter,6/2/2019,13:03:25,30,1,0
7,RUMAH NO. 1  JLN SS 3/29,"3.09173167596204, 101.610995720938",6/2/2019 13:05,"3.0924867, 101.610965",84 meter,6/2/2019,13:05:10,105,1,0
8,PASARAYA BINTANG  JLN SS 8/29,"3.0886277, 101.6141655",6/2/2019 13:06,"3.0886133, 101.6130583",123 meter,6/2/2019,13:06:00,50,1,0
9,PJ21 SRI SURIA  JLN SS 8/39,"3.09009995530852, 101.614893880919",6/2/2019 13:07,"3.0893967, 101.6149717",78 meter,6/2/2019,13:07:35,95,1,0
10,RUMAH NO. 9  JLN SS 1/11,"3.09328693210492, 101.616557211215",6/2/2019 13:08,"3.0924133, 101.615081",190 meter,6/2/2019,13:08:50,75,1,0
11,RUMAH NO. 35  JLN SS 1/11,"3.09527625790925, 101.617587312955",6/2/2019 13:10,"3.0945267, 101.6169783",107 meter,6/2/2019,13:10:00,70,1,0
16,MASJID/SEK REN. AGAMA  JLN 229,"3.09581055585597, 101.626158571955",6/2/2019 13:17,"3.0948383, 101.6273983",175 meter,6/2/2019,13:17:10,430,1,0
17,SHELL  PERSIARAN NARAYANAN,"3.09623994321129, 101.63059883685",6/2/2019 13:17,"3.0958283, 101.62901",182 meter,6/2/2019,13:17:30,20,1,0
18,SEK. MEN. SRI UTAMA  JLN 51A/227,"3.09852573401422, 101.63231163406",6/2/2019 13:18,"3.0969483, 101.63226",175 meter,6/2/2019,13:18:40,70,1,0
19,BANGUNAN OCONNOR  JLN 51A/227,"3.1006311, 101.6326407",6/2/2019 13:19,"3.1001483, 101.63238",61 meter,6/2/2019,13:19:10,30,1,0
20,HONDA TRAINING CENTRE  JLN 51A/227,"3.10137299701371, 101.630645769085",6/2/2019 13:19,"3.1013617, 101.6313567",79 meter,6/2/2019,13:19:40,30,1,0
21,SEK. MEN. (P) SRI AMAN  JLN SS 14/47,"3.10342898876476, 101.629160797821",6/2/2019 13:20,"3.1029017, 101.6295583",73 meter,6/2/2019,13:20:40,60,1,0
